                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0955,                 6.4447,                 1.9992,                      0,                      0,                      0,                      0,                 1.8847,                 5.3704,                 2.0425,                0.09505,                  5e-05,                  5e-05
                      2,                 2.0809,                 5.3017,                 1.9889,                      0,                      0,                      0,                      0,                 1.8757,                 5.2593,                 2.0339,               0.089061,               6.05e-05,               6.05e-05
