                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8729,                  7.152,                 1.7735,                0.00333,                      1,                0.07198,                0.04469,                 1.5539,                 3.3615,                  1.382,                0.09505,                  5e-05,                  5e-05
                      2,                 1.4549,                 2.5475,                 1.4546,                 0.5686,                0.16667,                0.45428,                0.25295,                 1.6928,                 2.6787,                 1.4064,               0.089056,              5.555e-05,              5.555e-05
